company_id,year,broad_sector,kpi,value,sector_mean,sector_std,z_score,abs_z_score
BAJAJHLDNG,2024-03,Financials,net_profit_margin_pct,432.7262044653349,38.23800342228855,85.77879819078619,4.598901003085162,4.598901003085162
PNB,2024-03,Financials,asset_turnover,1.5070262950629396,0.19832550467494797,0.3020168432677443,4.333204652522643,4.333204652522643
BAJAJHLDNG,2024-03,Financials,interest_coverage,3764.5,349.4110741679942,929.7307144060625,3.6732022217999525,3.6732022217999525
INDIGO,2024-03,Consumer Discretionary,return_on_capital_employed_pct,5640.87982832618,436.62496107623014,1443.9576146153101,3.6041604092627293,3.6041604092627293
INDIGO,2024-03,Consumer Discretionary,asset_turnover,56.38625204582652,5.157839331155129,14.21557860147183,3.6036811550792156,3.6036811550792156
INDIGO,2024-03,Consumer Discretionary,return_on_equity_pct,892.568306010929,86.7241057634709,223.66147598722537,3.6029637946835535,3.6029637946835535
PNB,2024-03,Financials,return_on_equity_pct,61.320565191187306,19.0070932850781,12.722058898283633,3.3259924548704793,3.3259924548704793
ICICIPRULI,2024-03,Financials,return_on_capital_employed_pct,754.9037279803359,79.27767597625696,204.6199706331179,3.301857828996914,3.301857828996914
ADANIGREEN,2024-03,Energy,debt_to_equity,6.595281675818589,1.459648082065076,1.5746143253694842,3.2615183991473167,3.2615183991473167
ADANIGREEN,2024-03,Energy,fcf_conversion_pct,-182.3858977862804,18.25433816998809,65.00363687309815,-3.0866001597412738,3.0866001597412738
